"","county","year","sex","CAUSE","Level","Ndeaths","YLL","m.YLL","mean.age","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","SMR","aRate","aLCI","aUCI","YLL.adj.rate"
"75","Alameda",2002,"Total",0,"gbd36",19130,437000,22.85,71.75,1468000,29760,29670,29850,1303,1284,1321,0.9756,1512,1491,1534,32630
"76","Alameda",2002,"Total",3,"gbd36",12,300.6,25.05,68.33,1468000,20.47,18.16,22.78,0.8172,0.3548,1.28,1.057,0.9976,0.5133,1.757,24.35
"77","Alameda",2002,"Total",10,"gbd36",136,6414,47.16,45.15,1468000,436.8,426.1,447.5,9.261,7.705,10.82,1.137,8.958,7.512,10.63,418.4
"78","Alameda",2002,"Total",13,"gbd36",8,171.9,21.49,72.5,1468000,11.71,9.959,13.46,0.5448,0.1673,0.9223,0.5407,0.6493,0.2794,1.296,13.73
"79","Alameda",2002,"Total",19,"gbd36",10,444.6,44.46,48.6,1468000,30.27,27.46,33.09,0.681,0.2589,1.103,1.226,0.6962,0.3327,1.317,30.05
"80","Alameda",2002,"Total",20,"gbd36",8,286.9,35.86,58,1468000,19.54,17.28,21.8,0.5448,0.1673,0.9223,1.796,0.6129,0.2626,1.235,20.54
"81","Alameda",2002,"Total",21,"gbd36",72,2512,34.89,57.94,1468000,171.1,164.4,177.8,4.903,3.771,6.036,1.028,5.252,4.1,6.647,176.8
"82","Alameda",2002,"Total",26,"gbd36",2,30.44,15.22,79,1468000,2.073,1.337,2.809,0.1362,-0.05256,0.325,0,0.1653,0.02002,0.6138,2.516
"83","Alameda",2002,"Total",46,"gbd36",194,4801,24.75,69.21,1468000,326.9,317.7,336.2,13.21,11.35,15.07,1.244,15.19,13.12,17.52,356
"84","Alameda",2002,"Total",48,"gbd36",586,9425,16.08,79.82,1468000,641.8,628.9,654.8,39.91,36.67,43.14,0.8585,47.28,43.52,51.29,728.9
"85","Alameda",2002,"Total",49,"gbd36",2,30.44,15.22,79,1468000,2.073,1.337,2.809,0.1362,-0.05256,0.325,0,0.1653,0.02002,0.6138,2.516
"86","Alameda",2002,"Total",50,"gbd36",2,183.9,91.94,0,1468000,12.52,10.71,14.33,0.1362,-0.05256,0.325,0,0.1376,0.01667,0.55,12.65
"87","Alameda",2002,"Total",51,"gbd36",2,106.4,53.19,39,1468000,7.244,5.868,8.621,0.1362,-0.05256,0.325,0,0.1321,0.016,0.5376,7.026
"88","Alameda",2002,"Total",58,"gbd36",78,7171,91.94,0,1468000,488.4,477.1,499.7,5.312,4.133,6.49,0.6628,5.368,4.243,6.726,493.5
"89","Alameda",2002,"Total",63,"gbd36",30,521.4,17.38,77.93,1468000,35.5,32.46,38.55,2.043,1.312,2.774,1.261,2.412,1.625,3.459,39.91
"90","Alameda",2002,"Total",70,"gbd36",4486,108800,24.25,69.58,1468000,7409,7365,7454,305.5,296.5,314.4,0.9896,356.4,346,367.1,8302
"91","Alameda",2002,"Total",103,"gbd36",116,2596,22.38,72.05,1468000,176.8,170,183.6,7.899,6.462,9.337,1.103,9.28,7.662,11.15,197.5
"92","Alameda",2002,"Total",104,"gbd36",538,12030,22.37,71.71,1468000,819.5,804.8,834.1,36.64,33.54,39.73,0.9681,42.78,39.22,46.58,918.1
"93","Alameda",2002,"Total",105,"gbd36",226,5623,24.88,69.27,1468000,382.9,372.9,392.9,15.39,13.38,17.4,1.228,17.66,15.42,20.14,416
"94","Alameda",2002,"Total",110,"gbd36",214,9380,43.83,48.9,1468000,638.8,625.9,651.7,14.57,12.62,16.53,0.854,14.58,12.68,16.71,618.8
"95","Alameda",2002,"Total",132,"gbd36",870,9348,10.74,86.02,1468000,636.6,623.7,649.5,59.25,55.31,63.18,1.241,71.36,66.69,76.27,763.8
"96","Alameda",2002,"Total",133,"gbd36",134,1781,13.29,82.24,1468000,121.3,115.6,126.9,9.125,7.58,10.67,1.011,11.03,9.238,13.07,146.6
"97","Alameda",2002,"Total",135,"gbd36",30,985.9,32.86,59.93,1468000,67.14,62.95,71.33,2.043,1.312,2.774,1.275,2.193,1.475,3.159,70.28
"98","Alameda",2002,"Total",138,"gbd36",128,3747,29.27,64.33,1468000,255.1,247,263.3,8.717,7.207,10.23,0.9773,9.825,8.185,11.71,271
"99","Alameda",2002,"Total",147,"gbd36",7296,127400,17.47,77.81,1468000,8678,8630,8725,496.8,485.4,508.2,0.9382,588.5,575,602.2,9906
