"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"54","12","2011-2015","Total","0","Calaveras",2069,43150,20.86,73.85,"lev0",45150,19120,18940,19300,916.6,877.1,956.1,"Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point",2070,595.1,568,623.6,14110
"55","120","2011-2015","Total","0","Placer",271,5928,21.88,72.5,"lev0",6015,19710,19210,20210,901.1,793.8,1008,"Foresthill",271,702.6,616.4,803.8,14280
"56","121.1","2011-2015","Total","0","Placer",4205,77410,18.41,76.85,"lev0",106500,14540,14440,14640,789.9,766,813.7,"Roseville",4207,691.9,671.1,713.3,13400
"57","121.2","2011-2015","Total","0","Placer",3523,65980,18.73,76.56,"lev0",111200,11870,11780,11960,633.7,612.8,654.6,"Rocklin/Granite Bay",3523,600.6,580.6,621.1,11410
"58","122","2011-2015","Total","0","Plumas",103,2401,23.31,71.2,"lev0",2753,17440,16750,18140,748.3,603.8,892.8,"Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain",103,601.7,477.9,770.1,16780
"59","123.1","2011-2015","Total","0","Plumas",286,6147,21.49,73.33,"lev0",6185,19880,19380,20370,924.8,817.6,1032,"Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden",286,709.6,624.7,807.8,16960
"60","123.2","2011-2015","Total","0","Plumas",67,1260,18.81,76.13,"lev0",1289,19560,18480,20630,1040,790.6,1288,"Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk",67,545.9,370.2,1100,13350
"61","124","2011-2015","Total","0","Plumas",148,3207,21.67,73.26,"lev0",5063,12670,12230,13110,584.6,490.4,678.8,"Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton",148,495,415.4,587.7,10680
"62","125","2011-2015","Total","0","Plumas",194,3728,19.22,75.82,"lev0",4296,17350,16800,17910,903.2,776.1,1030,"Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley",195,514.3,431,623.2,12140
"63","126","2011-2015","Total","0","Riverside",505,12740,25.28,68.88,"lev0",15560,16370,16090,16660,649.1,592.4,705.7,"Blythe",504,723.5,660,791.8,17130
